file	formula	svnrevision
1001558	- Ba Ca0.2 Cu0.6 Nd1.8 Ni0.4 O5 -	176435
1001559	- Fe2 O9 Pb0.78 Sr4 -	176435
1001561	- Ca3 Ga2 O12 Si Sn2 -	130149
1001562	- Ca3 Ga2 O12 Si0.95 Sn2.05 -	176435
1001563	- Ca3 Ga2 O12 Si0.05 Sn2.95 -	176435
1001567	- La5 Mo4 O16 -	130149
1001569	- Ba4 Cu2 Nd2 O9 -	130149
1001572	- Ba2 Ca0.4 Cu2 Hg0.73 O6.6 Y0.6 -	176435
1001575	- Ba4 Cu2 Hg O10 Tl2 -	130149
1001576	- Ba0.72 Ca1.84 Cu3 O9 Sr1.28 Tl1.16 -	176435
1001580	- Cu2 Gd2 O9 Pb0.5 Sr2 Tl0.5 -	176435
1001581	- Ce0.4 Cu2 Gd1.6 O9 Pb0.5 Sr2 Tl0.5 -	176435
1001586	- Ba2 Ca0.14 Co0.12 Cu2.88 O6.96 Y0.86 -	176435
1001587	- Ba2 Ca0.18 Co0.24 Cu2.76 O7 Y0.82 -	176435
1001588	- Ba2 Ca0.27 Co0.3 Cu2.7 O7 Y0.73 -	176435
1001589	- Ba2 Ca0.15 Co0.36 Cu2.64 O7.05 Y0.85 -	176435
1001590	- Ba2 Ca0.15 Co0.12 Cu2.88 O7.01 Y0.85 -	176435
1001591	- Ba2 Ca0.27 Co0.36 Cu2.64 O7.05 Y0.73 -	176435
1001594	- Ba0.93 Cu3.01 O7 Pb0.99 Sr1.07 Y -	176435
1001595	- Ba Cu3 O7.01 Pb Sr Y -	130149
1001601	- Ba2.5 Co2 Cu3 Eu2.5 O12 -	130149
1001606	- Fe2 O9 Pb1.01 Sr4 -	130149
1001607	- Ba Co1.6 Cu0.4 O5 Y -	176435
1001608	- Ba Co1.2 Cu0.8 O5 Y -	176435
1001609	- Ba Co1.1 Cu0.9 O5 Y -	176435
1001629	- Fe2 O9 Sr4 Tl0.965 -	176435
1001631	- Ca0.77 Cu2 Hg0.3 Nd0.23 O7 Pb0.7 Sr2 -	176435
1001639	- Ba2 Cu2 Hg1.88 O10 Pr2 -	176729
1001640	- Ba Cu Fe O5 Y -	130149
1001645	- Ba2 Cu2 Eu3 Mn2 O12 -	130149
1001647	- Cu6 Fe2 La4.4 O20 Sr3.6 -	130149
1001648	- Ba Co Cu0.5 Fe0.5 O5 Y -	176435
1001650	- Cu2 Hg0.3 O9 Pr2 Sr2 Tl0.7 -	176435
1001651	- La3 Nb O7 -	130149
1001652	- Ce0.5 Cu1.1 Hg0.4 La0.6 O5 Sr1.4 -	176435
1001657	- Ba1.04 Ca0.78 Cu2 O7 Sr0.96 Tl1.22 -	176435
1001658	- Ba1.04 Ca0.78 Cu2 O7 Sr0.96 Tl1.22 -	176435
1001659	- Ba1.04 Ca0.78 Cu2 O7 Sr0.96 Tl1.22 -	176435
1001660	- Mg O6 Pb2 W -	188422
1001661	- Mg O6 Pb2 W -	130149
1001662	- Mg O6 Pb2 W -	130149
1001663	- Cu Nd O2.5 -	130149
1001664	- Cu Nd O2.6 -	130149
1001665	- Cu Nd O2.93 -	130149
1001666	- Ca0.81 Cu2 O7 Sr2 Tl1.19 -	176435
1001667	- Ca0.81 Cu2 O7 Sr2 Tl1.19 -	176435
1001671	- Cu Nd2 O3.5 -	130149
1001672	- Fe2 O8 Sr3 Tl0.95 -	176435
1001673	- Fe2 O8 Pb0.485 Sr3 Tl0.485 -	176435
1001675	- Fe8 Ge3 O18 -	130149
1001676	- Al2 Ge2 O7 -	130149
1001677	- Ba2 Cu3 La O6.7 -	130149
1001678	- O49 W18 -	130149
1001679	- Na O3.5 U -	176729
1001680	- Al11 La Ni O19 -	130149
1001682	- Ga4 Ge O8 -	130149
1001684	- Ge Hf O4 -	176729
1001685	- Ge O4 Th -	176729
1001686	- Ge O4 Th -	176729
1001687	- Na O11 V6 -	130149
1001688	- Ba Cu5 La4 O13.16 -	130149
1001690	- K9 O22.5 U6 -	130149
1001696	- La1.6 Ni O3.5 Sr0.4 -	176435
1001697	- Cu6 Nd3 O17 Sr6 -	130149
1001701	- Cu6 Fe2 La4.4 O20 Sr3.6 -	130149
1001702	- Cu6.8 Fe1.2 La5.2 O20 Sr2.8 -	130149
1001703	- Cu6.8 Fe1.2 La6.4 O20 Sr1.6 -	130149
1001704	- Ca0.2 Mn O3 Pr0.7 Sr0.1 -	176435
1001705	- Ca0.2 Mn O3 Pr0.7 Sr0.1 -	176435
1001706	- Ca0.2 Mn O3 Pr0.7 Sr0.1 -	176435
1001707	- Ca0.2 Mn O3 Pr0.7 Sr0.1 -	176435
1001708	- Ca0.2 Mn O3 Pr0.7 Sr0.1 -	176435
1001710	- Cu Fe O6 Pb2 Sr2 -	130149
1001711	- Cu Fe O6 Pb2 Sr2 -	130149
1001712	- Cu Fe O6 Pb2 Sr2 -	130149
1001716	- Cu Mo0.2 O5 Sr2 Tl0.8 -	176435
1001718	- Ba Mn O3 -	176729
1001719	- Co O3.111 Sr0.9999 Tl0.41 -	176435
1001720	- Ba3 Nb6 O26 Si4 -	130149
1001721	- Fe2 K2 Mg3 O30 Si12 -	130149
1001722	- La Nb O6 Ti -	130149
1001725	- Cr Cu4 O20 Sr8 Tl3 -	130149
1001734	- Mn Nd0.7 O3 Sr0.3 -	176435
1001735	- Ca0.22 Mn Nd0.7 O3 Sr0.08 -	176435
1001736	- Ca0.3 Mn Nd0.7 O3 -	176435
1001737	- Mn Nd0.7 O3 Sr0.3 -	176435
1001738	- Ca0.22 Mn Nd0.7 O3 Sr0.08 -	176435
